filename;Temps-calculs(s);optimum;N;M;N*M
../../keptInstances/knapPI_16_20_1000_100.in;0.0223643;14143;20;8917;178340
../../keptInstances/knapPI_16_20_1000_85.in;0.0206887;14678;20;8795;175900
../../keptInstances/knapPI_13_50_1000_59.in;0.104823;22664;50;19332;966600
../../keptInstances/knapPI_14_20_1000_95.in;0.0242762;13884;20;9645;192900
../../keptInstances/knapPI_14_20_1000_15.in;0.00381112;3104;20;1816;36320
../../keptInstances/knapPI_11_20_1000_79.in;0.0163643;7896;20;6361;127220
../../keptInstances/knapPI_14_50_1000_47.in;0.0697877;18325;50;11031;551550
../../keptInstances/knapPI_16_50_1000_62.in;0.107767;29350;50;15931;796550
../../keptInstances/knapPI_13_20_1000_20.in;0.00302532;2520;20;1638;32760
../../keptInstances/knapPI_14_20_1000_18.in;0.00369107;3332;20;1845;36900
../../keptInstances/knapPI_13_20_1000_70.in;0.011632;5829;20;4421;88420
../../keptInstances/knapPI_16_100_1000_7.in;0.0361688;11296;100;3491;349100
../../keptInstances/knapPI_11_100_1000_10.in;0.0600227;10508;100;6239;623900
../../keptInstances/knapPI_15_20_1000_24.in;0.00527176;2709;20;2701;54020
../../keptInstances/knapPI_12_20_1000_10.in;0.00227323;1462;20;1450;29000
../../keptInstances/knapPI_16_50_1000_10.in;0.0119993;7568;50;2520;126000
../../keptInstances/knapPI_14_50_1000_39.in;0.0646534;17094;50;10494;524700
../../keptInstances/knapPI_14_100_1000_7.in;0.0421734;8690;100;3491;349100
../../keptInstances/knapPI_16_200_1000_3.in;0.0642092;13071;200;2873;574600
../../keptInstances/knapPI_15_50_1000_38.in;0.0545727;8970;50;8930;446500
../../keptInstances/knapPI_15_100_1000_8.in;0.0445295;4152;100;4122;412200
../../keptInstances/knapPI_11_50_1000_18.in;0.0400126;10624;50;8150;407500
../../keptInstances/knapPI_13_100_1000_69.in;0.0698597;14148;100;5151;515100
../../keptInstances/knapPI_12_50_1000_53.in;0.0555383;9726;50;10843;542150
../../keptInstances/knapPI_14_50_1000_48.in;0.0829084;19701;50;12703;635150
../../keptInstances/knapPI_15_50_1000_57.in;0.104198;16077;50;16029;801450
../../keptInstances/knapPI_16_20_1000_14.in;0.00246159;3677;20;1333;26660
../../keptInstances/knapPI_13_20_1000_54.in;0.0216007;9721;20;8499;169980
../../keptInstances/knapPI_16_20_1000_30.in;0.00774068;6828;20;2994;59880
../../keptInstances/knapPI_15_200_1000_2.in;0.0428191;2031;200;1998;399600
../../keptInstances/knapPI_11_20_1000_4.in;0.00241152;1440;20;1251;25020
../../keptInstances/knapPI_15_20_1000_75.in;0.0212295;7176;20;7163;143260
../../keptInstances/knapPI_12_20_1000_44.in;0.0126801;4978;20;5247;104940
../../keptInstances/knapPI_12_20_1000_18.in;0.00699914;3480;20;3329;66580
../../keptInstances/knapPI_12_50_1000_9.in;0.0165168;3382;50;3194;159700
../../keptInstances/knapPI_16_50_1000_5.in;0.00541723;4195;50;1037;51850
../../keptInstances/knapPI_16_20_1000_29.in;0.00564429;5992;20;2146;42920
../../keptInstances/knapPI_15_20_1000_82.in;0.0228593;8397;20;8381;167620
